Вольтаж,pH,Температура,Влажность,набор_воды,сброс_воды
2.30,8.06,26.20,30.30,0,1
2.30,8.06,26.20,30.30,0,1
2.30,8.06,26.20,30.20,0,1
2.30,8.06,26.30,30.20,0,1
2.30,8.06,26.20,30.10,0,1
2.30,8.06,26.30,30.10,0,1
2.30,8.06,26.30,30.10,0,1
2.30,8.06,26.30,30.10,0,1
2.30,8.06,26.20,30.10,0,1
2.30,8.06,26.30,30.10,0,1
2.30,8.06,26.30,30.00,0,1
2.30,8.06,26.20,30.00,0,1
2.30,8.06,26.30,30.00,0,1
2.30,8.06,26.30,30.00,0,1
2.30,8.06,26.30,30.00,0,1
2.30,8.06,26.30,30.00,0,1
2.30,8.06,26.30,29.90,0,1
2.30,8.06,26.30,29.90,0,1
2.30,8.07,26.30,29.90,0,1
2.30,8.07,26.30,30.30,0,1
2.30,8.06,26.30,31.00,0,1
2.30,8.06,26.30,31.70,0,1
2.30,8.07,26.30,31.80,0,1
2.30,8.07,26.30,31.70,0,1
2.31,8.07,26.30,31.90,0,1
2.31,8.07,26.30,31.80,0,1
2.31,8.07,26.30,31.60,0,1
2.31,8.07,26.30,31.50,0,1
2.31,8.07,26.30,31.40,0,1
2.31,8.07,26.30,31.50,0,1
2.31,8.07,26.30,31.40,0,1
2.31,8.07,26.30,31.40,0,1
2.31,8.07,26.30,31.30,0,1
2.31,8.07,26.30,31.20,0,1
2.31,8.07,26.30,31.20,0,1
2.31,8.07,26.30,31.20,0,1
2.31,8.08,26.30,31.30,0,1
2.31,8.08,26.30,31.50,0,1
2.31,8.08,26.30,32.30,0,1
2.31,8.08,26.30,32.00,0,1
2.31,8.08,26.30,31.70,0,1
2.31,8.08,26.30,31.50,0,1
2.31,8.08,26.30,31.30,0,1
2.31,8.08,26.30,31.00,0,1
2.31,8.08,26.20,30.90,0,1
2.31,8.08,26.30,30.90,0,1
2.31,8.08,26.30,31.10,0,1
2.31,8.08,26.30,31.40,0,1
2.31,8.08,26.30,32.00,0,1
2.31,8.08,26.30,32.50,0,1
2.31,8.08,26.30,32.30,0,1
2.31,8.09,26.30,32.00,0,1
2.31,8.09,26.30,31.80,0,1
2.31,8.09,26.30,31.60,0,1
2.31,8.09,26.30,31.40,0,1
2.31,8.09,26.30,31.30,0,1
2.31,8.09,26.30,31.50,0,1
2.31,8.09,26.30,32.20,0,1
2.31,8.09,26.30,33.30,0,1
2.31,8.09,26.30,33.80,0,1
2.31,8.09,26.30,34.50,0,1
2.31,8.09,26.30,34.60,0,1
2.31,8.09,26.30,34.10,0,1
2.31,8.10,26.30,33.30,0,1
2.31,8.10,26.30,33.30,0,1
2.31,8.10,26.30,33.30,0,1
2.31,8.10,26.30,32.90,0,1
2.31,8.10,26.30,32.70,0,1
2.31,8.10,26.30,32.40,0,1
2.31,8.10,26.30,32.00,0,1
2.31,8.10,26.30,31.80,0,1
2.31,8.10,26.30,31.60,0,1
2.32,8.10,26.30,31.40,0,1
2.32,8.10,26.30,31.30,0,1
2.32,8.10,26.30,31.20,0,1
2.32,8.11,26.30,31.00,0,1
2.32,8.11,26.30,31.00,0,1
2.32,8.11,26.30,30.90,0,1
2.32,8.11,26.30,30.70,0,1
2.32,8.11,26.30,30.70,0,1
2.32,8.11,26.30,30.70,0,1
2.32,8.11,26.30,30.70,0,1
2.32,8.11,26.30,30.60,0,1
2.32,8.11,26.30,30.60,0,1
2.32,8.11,26.30,30.50,0,1
2.32,8.11,26.30,30.40,0,1
2.32,8.11,26.30,30.30,0,1
2.32,8.12,26.30,30.20,0,1
2.32,8.12,26.30,30.10,0,1
2.32,8.12,26.30,30.10,0,1
2.32,8.12,26.30,30.20,0,1
2.32,8.12,26.30,31.00,0,1
2.32,8.12,26.30,31.20,0,1
2.32,8.12,26.30,31.20,0,1
2.32,8.12,26.30,31.70,0,1
2.32,8.12,26.30,31.60,0,1
2.32,8.12,26.30,31.50,0,1
2.32,8.12,26.30,31.40,0,1
2.32,8.13,26.30,31.40,0,1
2.32,8.13,26.30,31.90,0,1
2.32,8.13,26.30,32.50,0,1
2.32,8.13,26.30,33.30,0,1
2.32,8.13,26.30,33.60,0,1
2.32,8.13,26.30,33.60,0,1
2.32,8.13,26.30,33.30,0,1
2.32,8.13,26.30,33.40,0,1
2.32,8.13,26.30,33.30,0,1
2.32,8.13,26.30,32.80,0,1
2.32,8.13,26.30,32.40,0,1
2.32,8.13,26.30,33.20,0,1
2.32,8.13,26.30,33.90,0,1
2.32,8.14,26.30,33.90,0,1
2.32,8.14,26.30,33.90,0,1
2.32,8.14,26.30,34.00,0,1
2.33,8.14,26.30,33.60,0,1
2.33,8.14,26.30,33.60,0,1
2.33,8.14,26.30,33.40,0,1
2.33,8.14,26.30,33.30,0,1
2.33,8.14,26.30,33.20,0,1
2.33,8.14,26.30,32.70,0,1
2.33,8.14,26.30,32.30,0,1
2.33,8.14,26.30,32.10,0,1
2.33,8.14,26.30,32.00,0,1
2.33,8.14,26.30,31.80,0,1
2.33,8.14,26.30,31.70,0,1
2.33,8.14,26.30,31.60,0,1
2.33,8.15,26.30,31.50,0,1
2.33,8.14,26.30,31.50,0,1
2.33,8.14,26.30,31.50,0,1
2.33,8.14,26.30,31.50,0,1
2.33,8.15,26.30,31.60,0,1
2.33,8.15,26.30,31.50,0,1
2.33,8.15,26.30,31.40,0,1
2.33,8.15,26.30,31.40,0,1
2.33,8.15,26.30,31.40,0,1
2.33,8.15,26.30,31.40,0,1
2.33,8.15,26.30,31.30,0,1
2.33,8.15,26.30,31.30,0,1
2.33,8.15,26.30,31.20,0,1
2.33,8.15,26.30,31.00,0,1
2.33,8.15,26.30,30.90,0,1
2.33,8.15,26.30,30.90,0,1
2.33,8.15,26.30,30.80,0,1
2.33,8.15,26.30,30.80,0,1
2.33,8.15,26.30,30.70,0,1
2.33,8.15,26.30,30.80,0,1
2.33,8.15,26.30,30.90,0,1
2.33,8.16,26.30,30.70,0,1
2.33,8.16,26.30,30.70,0,1
2.33,8.16,26.30,30.60,0,1
2.33,8.16,26.30,30.50,0,1
2.33,8.16,26.30,30.50,0,1
2.33,8.16,26.30,30.50,0,1
2.33,8.16,26.30,30.40,0,1
2.33,8.16,26.30,30.30,0,1
2.33,8.16,26.30,30.30,0,1
2.33,8.16,26.30,31.00,0,1
2.33,8.16,26.30,32.10,0,1
2.33,8.16,26.30,33.90,0,1
2.33,8.16,26.30,35.40,0,1
2.33,8.16,26.30,35.50,0,1
2.33,8.16,26.30,35.10,0,1
2.33,8.16,26.30,34.90,0,1
2.33,8.16,26.30,34.70,0,1
2.33,8.16,26.30,34.20,0,1
2.33,8.16,26.30,33.50,0,1
2.33,8.17,26.30,33.30,0,1
2.33,8.17,26.30,32.80,0,1
2.33,8.17,26.30,32.40,0,1
2.33,8.17,26.30,32.10,0,1
2.33,8.17,26.30,32.00,0,1
2.33,8.17,26.30,31.70,0,1
2.33,8.17,26.30,31.50,0,1
2.33,8.17,26.30,31.40,0,1
2.33,8.17,26.30,31.30,0,1
2.33,8.17,26.30,31.20,0,1
2.33,8.17,26.30,31.20,0,1
2.34,8.17,26.30,31.30,0,1
2.34,8.17,26.30,31.20,0,1
2.34,8.17,26.30,31.20,0,1
2.34,8.17,26.30,31.50,0,1
2.34,8.18,26.30,32.00,0,1
2.34,8.18,26.30,32.60,0,1
2.34,8.18,26.30,32.30,0,1
2.34,8.18,26.30,31.90,0,1
2.34,8.18,26.30,31.70,0,1
2.34,8.18,26.30,31.40,0,1
2.34,8.18,26.30,31.40,0,1
2.34,8.18,26.30,31.30,0,1
2.34,8.18,26.30,31.10,0,1
2.34,8.18,26.30,31.00,0,1
2.34,8.18,26.30,31.00,0,1
2.34,8.18,26.30,31.10,0,1
2.34,8.18,26.30,31.00,0,1
2.34,8.18,26.30,31.00,0,1
2.34,8.18,26.30,31.00,0,1
2.34,8.18,26.30,31.30,0,1
2.34,8.19,26.30,31.50,0,1
2.34,8.19,26.30,31.40,0,1
2.34,8.19,26.40,31.20,0,1
2.34,8.19,26.30,31.00,0,1
2.34,8.19,26.30,30.90,0,1
2.34,8.19,26.30,30.90,0,1
2.34,8.19,26.30,30.90,0,1
2.34,8.19,26.30,30.80,0,1
2.34,8.19,26.30,30.80,0,1
2.34,8.19,26.30,30.90,0,1
2.34,8.19,26.30,31.80,0,1
2.34,8.19,26.30,31.70,0,1
2.34,8.19,26.30,31.50,0,1
2.34,8.19,26.30,31.30,0,1
2.34,8.19,26.30,31.30,0,1
2.34,8.19,26.30,31.30,0,1
2.34,8.20,26.30,31.30,0,1
2.34,8.20,26.30,31.40,0,1
2.34,8.20,26.40,31.50,0,1
2.34,8.20,26.30,31.50,0,1
2.34,8.20,26.30,31.70,0,1
2.34,8.20,26.30,31.60,0,1
2.34,8.20,26.30,31.50,0,1
2.34,8.20,26.40,31.50,0,1
2.34,8.20,26.30,31.40,0,1
2.34,8.20,26.40,31.50,0,1
2.34,8.20,26.40,31.50,0,1
2.34,8.20,26.40,31.50,0,1
2.34,8.20,26.30,31.30,0,1
2.34,8.20,26.40,31.40,0,1
2.34,8.21,26.30,31.50,0,1
2.34,8.20,26.30,31.40,0,1
2.34,8.21,26.40,31.30,0,1
2.34,8.21,26.40,31.20,0,1
2.34,8.21,26.30,31.20,0,1
2.35,8.21,26.30,31.00,0,1
2.35,8.21,26.40,30.90,0,1
2.35,8.21,26.30,30.80,0,1
2.35,8.21,26.40,30.70,0,1
2.35,8.21,26.30,30.60,0,1
2.35,8.21,26.40,31.00,0,1
2.35,8.21,26.30,31.20,0,1
2.35,8.21,26.30,31.20,0,1
2.35,8.21,26.30,31.10,0,1
2.35,8.21,26.40,31.10,0,1
2.35,8.21,26.40,31.00,0,1
2.35,8.21,26.40,31.40,0,1
2.35,8.21,26.40,31.30,0,1
2.35,8.21,26.30,31.00,0,1
2.35,8.21,26.40,30.90,0,1
2.35,8.22,26.40,30.70,0,1
2.35,8.22,26.30,30.50,0,1
2.35,8.22,26.30,30.40,0,1
2.35,8.22,26.40,30.30,0,1
2.35,8.22,26.40,30.20,0,1
2.35,8.22,26.30,30.10,0,1
2.35,8.22,26.30,30.10,0,1
2.35,8.22,26.40,30.20,0,1
2.35,8.22,26.40,30.20,0,1
2.35,8.22,26.40,30.10,0,1
2.35,8.22,26.40,30.10,0,1
2.35,8.22,26.30,30.00,0,1
2.35,8.22,26.40,30.00,0,1
2.35,8.22,26.40,30.00,0,1
2.35,8.22,26.40,30.10,0,1
2.35,8.22,26.30,30.10,0,1
2.35,8.22,26.40,30.20,0,1
2.35,8.23,26.30,30.10,0,1
2.35,8.23,26.40,30.20,0,1
2.35,8.23,26.40,30.20,0,1
2.35,8.23,26.40,30.60,0,1
2.35,8.23,26.40,30.50,0,1
2.35,8.23,26.30,30.30,0,1
2.35,8.23,26.40,30.30,0,1
2.35,8.23,26.30,30.20,0,1
2.35,8.23,26.40,30.30,0,1
2.35,8.23,26.40,30.30,0,1
2.35,8.23,26.40,30.30,0,1
2.35,8.23,26.40,30.40,0,1
2.35,8.23,26.30,30.50,0,1
2.35,8.23,26.40,30.60,0,1
2.35,8.23,26.30,30.60,0,1
2.35,8.23,26.40,30.70,0,1
2.35,8.23,26.30,30.70,0,1
2.35,8.23,26.30,30.90,0,1
2.35,8.23,26.30,31.20,0,1
2.35,8.23,26.30,31.50,0,1
2.35,8.23,26.30,31.30,0,1
2.35,8.23,26.30,31.00,0,1
2.35,8.23,26.30,30.80,0,1
2.35,8.24,26.30,30.60,0,1
2.35,8.24,26.30,30.50,0,1
2.35,8.23,26.30,30.30,0,1
2.35,8.23,26.30,30.20,0,1
2.35,8.23,26.30,30.10,0,1
2.35,8.24,26.30,30.20,0,1
2.35,8.24,26.40,30.30,0,1
2.35,8.24,26.30,30.20,0,1
2.35,8.24,26.40,30.20,0,1
2.35,8.24,26.30,30.10,0,1
2.35,8.24,26.40,30.20,0,1
2.35,8.24,26.30,30.30,0,1
2.35,8.24,26.30,30.30,0,1
2.35,8.24,26.30,30.30,0,1
2.35,8.24,26.40,30.60,0,1
2.35,8.24,26.30,30.70,0,1
2.35,8.24,26.30,30.90,0,1
2.35,8.24,26.30,30.90,0,1
2.35,8.24,26.30,30.90,0,1
2.35,8.24,26.30,30.90,0,1
2.35,8.24,26.30,31.00,0,1
2.35,8.24,26.30,31.00,0,1
2.35,8.24,26.30,30.90,0,1
2.35,8.24,26.30,30.90,0,1
2.35,8.24,26.30,30.90,0,1
2.36,8.24,26.30,30.90,0,1
2.36,8.24,26.30,30.90,0,1
2.36,8.24,26.30,31.00,0,1
2.36,8.24,26.30,31.00,0,1
2.36,8.25,26.30,31.00,0,1
2.36,8.25,26.30,31.20,0,1
2.36,8.25,26.30,31.30,0,1
2.36,8.25,26.30,31.50,0,1
2.36,8.25,26.30,31.80,0,1
2.36,8.25,26.30,31.90,0,1
2.36,8.25,26.30,31.80,0,1
2.36,8.25,26.30,31.60,0,1
2.36,8.25,26.30,31.60,0,1
2.36,8.25,26.30,31.50,0,1
2.36,8.25,26.30,31.80,0,1
2.36,8.25,26.30,31.80,0,1
2.36,8.25,26.30,31.80,0,1
2.36,8.25,26.30,31.80,0,1
2.36,8.25,26.30,31.80,0,1
2.36,8.25,26.30,31.60,0,1
2.36,8.25,26.30,31.50,0,1
2.36,8.25,26.30,31.40,0,1
2.36,8.25,26.30,31.20,0,1
2.36,8.25,26.30,31.10,0,1
2.36,8.25,26.30,31.00,0,1
2.36,8.25,26.30,30.90,0,1
2.36,8.25,26.30,30.80,0,1
2.36,8.25,26.30,30.80,0,1
2.36,8.25,26.30,30.70,0,1
2.36,8.25,26.30,30.60,0,1
2.36,8.25,26.30,30.50,0,1
2.36,8.25,26.30,30.40,0,1
2.36,8.25,26.30,30.30,0,1
2.36,8.26,26.30,30.30,0,1
2.36,8.26,26.30,30.30,0,1
2.36,8.26,26.30,30.30,0,1
2.36,8.26,26.30,30.30,0,1
2.36,8.26,26.30,30.40,0,1
2.36,8.26,26.30,30.50,0,1
2.36,8.26,26.30,30.40,0,1
2.36,8.26,26.30,30.40,0,1
2.36,8.26,26.30,30.40,0,1
2.36,8.26,26.30,30.40,0,1
2.36,8.26,26.30,30.30,0,1
2.36,8.26,26.30,30.30,0,1
2.36,8.26,26.30,30.30,0,1
2.36,8.26,26.30,30.20,0,1
2.36,8.26,26.30,30.20,0,1
2.36,8.26,26.30,30.30,0,1
2.36,8.26,26.30,30.30,0,1
2.36,8.26,26.30,30.20,0,1
2.36,8.26,26.30,30.20,0,1
2.36,8.26,26.30,30.40,0,1
2.36,8.26,26.30,30.30,0,1
2.36,8.26,26.30,30.30,0,1
2.36,8.26,26.30,30.20,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.26,26.30,30.20,0,1
2.36,8.26,26.30,30.20,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.26,26.30,30.70,0,1
2.36,8.26,26.30,31.00,0,1
2.36,8.26,26.30,30.90,0,1
2.36,8.26,26.30,30.70,0,1
2.36,8.26,26.30,30.50,0,1
2.36,8.26,26.40,30.40,0,1
2.36,8.26,26.30,30.20,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.26,26.40,30.20,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.26,26.30,30.00,0,1
2.36,8.26,26.40,30.10,0,1
2.36,8.26,26.40,30.00,0,1
2.36,8.26,26.40,30.00,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.26,26.30,30.40,0,1
2.36,8.25,26.30,30.90,0,1
2.36,8.26,26.30,32.30,0,1
2.36,8.26,26.40,32.50,0,1
2.36,8.26,26.30,32.10,0,1
2.36,8.26,26.30,31.70,0,1
2.36,8.25,26.40,31.40,0,1
2.36,8.25,26.30,30.90,0,1
2.36,8.26,26.40,30.90,0,1
2.36,8.26,26.30,30.60,0,1
2.36,8.25,26.40,30.40,0,1
2.36,8.25,26.40,30.30,0,1
2.36,8.25,26.40,30.20,0,1
2.36,8.25,26.30,30.10,0,1
2.36,8.25,26.30,30.10,0,1
2.36,8.25,26.40,30.10,0,1
2.36,8.25,26.40,30.10,0,1
2.36,8.26,26.30,30.00,0,1
2.36,8.26,26.30,30.00,0,1
2.36,8.26,26.30,30.00,0,1
2.36,8.26,26.30,30.00,0,1
2.36,8.26,26.30,29.90,0,1
2.36,8.25,26.30,29.90,0,1
2.36,8.25,26.30,29.90,0,1
2.36,8.25,26.30,29.80,0,1
2.36,8.25,26.30,29.80,0,1
2.36,8.26,26.30,29.80,0,1
2.36,8.26,26.30,29.80,0,1
2.36,8.26,26.30,29.80,0,1
2.36,8.25,26.30,29.80,0,1
2.36,8.25,26.30,29.80,0,1
2.36,8.25,26.30,29.80,0,1
2.36,8.26,26.30,29.80,0,1
2.36,8.26,26.30,29.80,0,1
2.36,8.26,26.40,29.80,0,1
2.36,8.26,26.30,29.80,0,1
2.36,8.26,26.30,29.80,0,1
2.36,8.26,26.30,29.80,0,1
2.36,8.26,26.30,29.80,0,1
2.36,8.26,26.30,29.90,0,1
2.36,8.26,26.30,29.80,0,1
2.36,8.26,26.40,29.90,0,1
2.36,8.26,26.30,29.80,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.26,26.30,30.50,0,1
2.36,8.26,26.30,31.30,0,1
2.36,8.26,26.30,31.00,0,1
2.36,8.26,26.30,30.90,0,1
2.36,8.26,26.30,30.90,0,1
2.36,8.26,26.30,30.80,0,1
2.36,8.26,26.30,30.70,0,1
2.36,8.26,26.30,30.50,0,1
2.36,8.26,26.30,30.30,0,1
2.36,8.26,26.30,30.20,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.26,26.30,30.00,0,1
2.36,8.26,26.30,30.00,0,1
2.36,8.26,26.30,30.00,0,1
2.36,8.26,26.30,30.00,0,1
2.36,8.26,26.30,30.00,0,1
2.36,8.26,26.30,29.90,0,1
2.36,8.26,26.30,29.90,0,1
2.36,8.26,26.30,29.90,0,1
2.36,8.26,26.30,29.90,0,1
2.36,8.26,26.30,29.90,0,1
2.36,8.26,26.30,29.90,0,1
2.36,8.26,26.30,29.90,0,1
2.36,8.27,26.30,29.90,0,1
2.36,8.27,26.30,30.00,0,1
2.36,8.27,26.30,30.10,0,1
2.36,8.27,26.30,30.10,0,1
2.36,8.27,26.30,30.00,0,1
2.36,8.27,26.30,30.10,0,1
2.36,8.27,26.30,30.50,0,1
2.36,8.27,26.30,30.90,0,1
2.36,8.27,26.30,30.70,0,1
2.36,8.27,26.30,30.40,0,1
2.36,8.28,26.30,30.80,0,1
2.36,8.28,26.30,31.70,0,1
2.37,8.28,26.30,33.30,0,1
2.37,8.28,26.30,35.10,0,1
2.37,8.28,26.30,35.40,0,1
2.37,8.28,26.30,35.10,0,1
2.37,8.29,26.30,34.20,0,1
